id,equation_raw,notes,provenance,equation_normalized,status,balance
4779,Ge+4 + 2<e-1> = Ge+2,"[{""page"": 1, ""text"": ""Note: Ge+4 is deprecated because does not exist in aqueous solution""}]","{""bbox_points"": [60.170909090909085, 143.39999999999998, 551.3, 153.90000000000003], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 1, ""source_file"": ""GER.PDF""}",Ge+4 + 2<e-1> = Ge+2,transcribed_existing_published_record,"{""atom_residual_products_minus_reactants"": {}, ""charge_residual"": ""0"", ""status"": ""balanced"", ""terms"": {""Ge+2"": ""1"", ""Ge+4"": ""-1"", ""e-1"": ""-2""}}"
4786,Ge+2 + 2<e-1> = Ge(s),"[{""page"": 1, ""text"": ""Note: All secondary references based on unknown source""}]","{""bbox_points"": [60.170909090909085, 307.20000000000005, 551.3, 317.70000000000005], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 1, ""source_file"": ""GER.PDF""}",Ge+2 + 2<e-1> = Ge(s),transcribed_existing_published_record,"{""atom_residual_products_minus_reactants"": {}, ""charge_residual"": ""0"", ""status"": ""balanced"", ""terms"": {""Ge(s)"": ""1"", ""Ge+2"": ""-1"", ""e-1"": ""-2""}}"
11875,Ge+4_OH-1(4) + 2<H+1_Maltol-1> = Ge+4_Maltol-1(2)_OH-1(2) + 2<H2O>,[],"{""bbox_points"": [60.170909090909085, 489.36, 551.3, 499.92], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 1, ""source_file"": ""GER.PDF""}",Ge+4_OH-1(4) + 2<H+1_Maltol-1> = Ge+4_Maltol-1(2)_OH-1(2) + 2<H2O>,transcribed_existing_published_record,"{""atom_residual_products_minus_reactants"": {}, ""charge_residual"": ""0"", ""status"": ""balanced"", ""terms"": {""Ge+4_Maltol-1(2)_OH-1(2)"": ""1"", ""Ge+4_OH-1(4)"": ""-1"", ""H+1_Maltol-1"": ""-2"", ""H2O"": ""2""}}"
11876,Ge+4_OH-1(4) + 3<H+1_Maltol-1> + H+1 = Ge+4_Maltol-1(3) + 4<H2O>,[],"{""bbox_points"": [60.170909090909085, 613.5, 551.3, 624.0600000000001], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 1, ""source_file"": ""GER.PDF""}",Ge+4_OH-1(4) + 3<H+1_Maltol-1> + H+1 = Ge+4_Maltol-1(3) + 4<H2O>,transcribed_existing_published_record,"{""atom_residual_products_minus_reactants"": {}, ""charge_residual"": ""0"", ""status"": ""balanced"", ""terms"": {""Ge+4_Maltol-1(3)"": ""1"", ""Ge+4_OH-1(4)"": ""-1"", ""H+1"": ""-1"", ""H+1_Maltol-1"": ""-3"", ""H2O"": ""4""}}"
11918,Ge+4_OH-1(4) + 2<H+1_Kojic-1> = Ge+4_Kojic-1(2)_OH-1(2) + 2<H2O>,[],"{""bbox_points"": [60.18299999999999, 70.56000000000006, 551.2905, 81.12], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 2, ""source_file"": ""GER.PDF""}",Ge+4_OH-1(4) + 2<H+1_Kojic-1> = Ge+4_Kojic-1(2)_OH-1(2) + 2<H2O>,transcribed_existing_published_record,"{""atom_residual_products_minus_reactants"": {}, ""charge_residual"": ""0"", ""status"": ""balanced"", ""terms"": {""Ge+4_Kojic-1(2)_OH-1(2)"": ""1"", ""Ge+4_OH-1(4)"": ""-1"", ""H+1_Kojic-1"": ""-2"", ""H2O"": ""2""}}"
12981,Ge+4_OH-1(4) + 2<H+1_Tropolone-1> = Ge+4_OH-1(2)_Tropolone-1(2) + 2<H2O >,[],"{""bbox_points"": [60.18299999999999, 194.64, 551.2905, 205.26000000000005], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 2, ""source_file"": ""GER.PDF""}",Ge+4_OH-1(4) + 2<H+1_Tropolone-1> = Ge+4_OH-1(2)_Tropolone-1(2) + 2<H2O>,transcribed_existing_published_record,"{""atom_residual_products_minus_reactants"": {}, ""charge_residual"": ""0"", ""status"": ""balanced"", ""terms"": {""Ge+4_OH-1(2)_Tropolone-1(2)"": ""1"", ""Ge+4_OH-1(4)"": ""-1"", ""H+1_Tropolone-1"": ""-2"", ""H2O"": ""2""}}"
12982,Ge+4_OH-1(4) + 3<H+1_Tropolone-1> + H+1 = Ge+4_Tropolone-1(3) + 4<H2O>,[],"{""bbox_points"": [60.18299999999999, 300.3, 551.2905, 310.98], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 2, ""source_file"": ""GER.PDF""}",Ge+4_OH-1(4) + 3<H+1_Tropolone-1> + H+1 = Ge+4_Tropolone-1(3) + 4<H2O>,transcribed_existing_published_record,"{""atom_residual_products_minus_reactants"": {}, ""charge_residual"": ""0"", ""status"": ""balanced"", ""terms"": {""Ge+4_OH-1(4)"": ""-1"", ""Ge+4_Tropolone-1(3)"": ""1"", ""H+1"": ""-1"", ""H+1_Tropolone-1"": ""-3"", ""H2O"": ""4""}}"
13532,Ge+4_Mandelic-1(3) + H+1 = Ge+4_H+1_Mandelic-1(3),[],"{""bbox_points"": [60.18299999999999, 406.02000000000004, 551.2905, 416.58000000000004], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 2, ""source_file"": ""GER.PDF""}",Ge+4_Mandelic-1(3) + H+1 = Ge+4_H+1_Mandelic-1(3),transcribed_existing_published_record,"{""atom_residual_products_minus_reactants"": {}, ""charge_residual"": ""0"", ""status"": ""balanced"", ""terms"": {""Ge+4_H+1_Mandelic-1(3)"": ""1"", ""Ge+4_Mandelic-1(3)"": ""-1"", ""H+1"": ""-1""}}"
13533,Ge+4_H+1_Mandelic-1(3) + H+1 = Ge+4_H+1(2)_Mandelic-1(3),[],"{""bbox_points"": [60.18299999999999, 511.74, 551.2905, 522.3], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 2, ""source_file"": ""GER.PDF""}",Ge+4_H+1_Mandelic-1(3) + H+1 = Ge+4_H+1(2)_Mandelic-1(3),transcribed_existing_published_record,"{""atom_residual_products_minus_reactants"": {}, ""charge_residual"": ""0"", ""status"": ""balanced"", ""terms"": {""Ge+4_H+1(2)_Mandelic-1(3)"": ""1"", ""Ge+4_H+1_Mandelic-1(3)"": ""-1"", ""H+1"": ""-1""}}"
13726,Ge+4_OH-1(4) + 2<H+1_Oxine-1> = Ge+4_OH-1(2)_Oxine-1(2) + 2<H2O>,[],"{""bbox_points"": [60.18299999999999, 617.46, 551.2905, 628.02], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 2, ""source_file"": ""GER.PDF""}",Ge+4_OH-1(4) + 2<H+1_Oxine-1> = Ge+4_OH-1(2)_Oxine-1(2) + 2<H2O>,transcribed_existing_published_record,"{""atom_residual_products_minus_reactants"": {}, ""charge_residual"": ""0"", ""status"": ""balanced"", ""terms"": {""Ge+4_OH-1(2)_Oxine-1(2)"": ""1"", ""Ge+4_OH-1(4)"": ""-1"", ""H+1_Oxine-1"": ""-2"", ""H2O"": ""2""}}"
