id,label,citation_raw,provenance
140,64SiM,"Stability Constants of Metal-ion Complexes SP17, 1964 Sillen LG; Martell AE; The
Chemical Soc.,London","{""bbox_points"": null, ""doi"": ""10.5281/zenodo.7700024"", ""page"": 38, ""source_file"": ""GER.PDF""}"
403,76BaM,"The Hydrolysis of Cations, 1976 Baes CF Jr; Mesmer RE; Wiley, New York","{""bbox_points"": null, ""doi"": ""10.5281/zenodo.7700024"", ""page"": 38, ""source_file"": ""GER.PDF""}"
437,80BoH,"IUPAC Chemical Data Series No. 27, 1980 Bond AM; Hefter GT; Critical Survey of
Stability Constants and Related Thermodynamic Data of Fluoride Complexes in Aqueous
Solution; Pergamon, Oxford, U.K.","{""bbox_points"": null, ""doi"": ""10.5281/zenodo.7700024"", ""page"": 38, ""source_file"": ""GER.PDF""}"
552,95SMM,"NIST Critical Stability Constants of Metal Complexes Database, 1995 Smith RM; Martell
AE; Motekaitis RJ; Version 2.0; National Institute of Standards and Technology,
Gaithersburg, USA","{""bbox_points"": null, ""doi"": ""10.5281/zenodo.7700024"", ""page"": 38, ""source_file"": ""GER.PDF""}"
775,71CCM,"Selected Constants, 1971 Charlot G; Collumeau A; Marchon MJC; Oxidation-Reduction
Potentials of Inorganic Substances in Aqueous Solution; Butterworths, London","{""bbox_points"": null, ""doi"": ""10.5281/zenodo.7700024"", ""page"": 38, ""source_file"": ""GER.PDF""}"
903,77And,"Critical Survey of Stability Constants of EDTA Complexes, 1977 Anderegg G; IUPAC
Chemical Data Series. 14; Pergamon Press, Oxford","{""bbox_points"": null, ""doi"": ""10.5281/zenodo.7700024"", ""page"": 38, ""source_file"": ""GER.PDF""}"
906,79Per,"IUPAC Chemical Data Series No. 22, 1979 Perrin DD; Stability Constants of Metal-Ion
Complexes, First Edition Part B, Organic Ligands; Pergamon, Oxford","{""bbox_points"": null, ""doi"": ""10.5281/zenodo.7700024"", ""page"": 39, ""source_file"": ""GER.PDF""}"
931,71SiM,"Stability Constants of Metal-ion Complexes SP25, 1971 Sillen LG; Martell AE; Supplement
No 1 to Special Publication No 25; Chemical Society, London","{""bbox_points"": null, ""doi"": ""10.5281/zenodo.7700024"", ""page"": 39, ""source_file"": ""GER.PDF""}"
999,91MaM,"Estimation of Constants for JESS Database, 1991 May PM; May RF","{""bbox_points"": null, ""doi"": ""10.5281/zenodo.7700024"", ""page"": 39, ""source_file"": ""GER.PDF""}"
2261,93PeP,"IUPAC Stability Constants Database, 1993 Pettit LD; Powell HKJ; IUPAC (in co-operation
with Academic Software), Otley, UK","{""bbox_points"": null, ""doi"": ""10.5281/zenodo.7700024"", ""page"": 39, ""source_file"": ""GER.PDF""}"
2556,93MSM,"NIST Critical Stability Constants of Metal Complexes Database, 1993 Martell AE; Smith
RM; Motekaitis RJ; Version 1.0; National Institute of Standards and Technology,
Gaithersburg, USA","{""bbox_points"": null, ""doi"": ""10.5281/zenodo.7700024"", ""page"": 39, ""source_file"": ""GER.PDF""}"
3237,62Cla,"J. Inorg. Nucl. Chem., 1962, 24, 81 - 91; Clark ER; Complex Formation between Germanic
Acid and alpha-Hydroxy Acids -II. Mandelic Acid","{""bbox_points"": null, ""doi"": ""10.5281/zenodo.7700024"", ""page"": 39, ""source_file"": ""GER.PDF""}"
3450,81MMB,"Collect. Czech. Chem. Commun., 1981, 46, 701 - 707; Mikanova E; Mikesova M; Bartusek M;
Reactions of Ge(IV) with Aminocarboxylic and Aminohydroxylic Chelones","{""bbox_points"": null, ""doi"": ""10.5281/zenodo.7700024"", ""page"": 39, ""source_file"": ""GER.PDF""}"
5339,66AnN,"Russ. J. Inorg. Chem., 1966, 11, 816 - 819; Andrianov AM; Nazarenko VA; Hydroxo-
Complexes of Germanium(IV)","{""bbox_points"": null, ""doi"": ""10.5281/zenodo.7700024"", ""page"": 39, ""source_file"": ""GER.PDF""}"
5605,78CDH,"J. Chem. Thermodyn., 1978, 10, 903 - 906; Cox JD; Drowart J; Hepler LG; Medvedev VA;
Wagman DD; CODATA recommended Key Values for Thermodynamics, 1977. Report of the CODATA
Task Group on Key Values for Thermodynamics, 1977","{""bbox_points"": null, ""doi"": ""10.5281/zenodo.7700024"", ""page"": 39, ""source_file"": ""GER.PDF""}"
6330,95LiF,"CRC Handbook of Chemistry and Physics, 76th Edn., 1995 Lide DR; Frederikse HPR; A
Ready-Reference Book of Chemical and Physical Data; CRC Press, Cleveland, Ohio, U.S.A.","{""bbox_points"": null, ""doi"": ""10.5281/zenodo.7700024"", ""page"": 39, ""source_file"": ""GER.PDF""}"
6422,95BaP,"Thermochemical Data of Pure Substances, 3rd Edn., 1995 Barin I; Platzki G; Weinheim,
Germany","{""bbox_points"": null, ""doi"": ""10.5281/zenodo.7700024"", ""page"": 39, ""source_file"": ""GER.PDF""}"
6860,69KoM,"Monatsh. Chem., 1969, 100, 649 - 663; Konopik N; Meszaros P; Komplexverbinddungen von
Germaniumsaure mit ADTE und ADTE-Analogen, 2. Mitt. 1,2-Hydroxyathyl-1,2-diaminoathan-
N,N',N'-triessigsaure","{""bbox_points"": null, ""doi"": ""10.5281/zenodo.7700024"", ""page"": 39, ""source_file"": ""GER.PDF""}"
7276,88CoW,"Advanced Inorganic Chemistry, 5th Edn., 1988 Cotton FA; Wilkinson G; John Wiley & Sons
Inc., N.Y., U.S.A","{""bbox_points"": null, ""doi"": ""10.5281/zenodo.7700024"", ""page"": 39, ""source_file"": ""GER.PDF""}"
7760,75BPS,"Russ. J. Inorg. Chem., 1975, 20, 1542 - 1544; Belousova EM; Pozharitskii AF; Seifullina
II; Nazarova IN; Spectrophotometric Investigation of Complex Formation by Germanium(IV)
with Glycolic and Lactic Acids","{""bbox_points"": null, ""doi"": ""10.5281/zenodo.7700024"", ""page"": 39, ""source_file"": ""GER.PDF""}"
7778,73PeA,"Acta Chem. Scand., 1973, 27, 977 - 984; Pettersson L; Andersson I; Multicomponent
Polyanions. III. A Potentiometric Study of Germanate - Mannitol Equilibria in 0.5 M
Na(Cl) Medium","{""bbox_points"": null, ""doi"": ""10.5281/zenodo.7700024"", ""page"": 40, ""source_file"": ""GER.PDF""}"
7864,32LaM,"J. Am. Chem. Soc., 1932, 54, 2303 - 2320; Laubengayer AW; Morton DS; Germanium. XXXIX.
The Polymorphism of Germanium Dioxide","{""bbox_points"": null, ""doi"": ""10.5281/zenodo.7700024"", ""page"": 40, ""source_file"": ""GER.PDF""}"
8052,52JoL,"J. Am. Chem. Soc., 1952, 74, 5751 - 5752; Jolly WL; Latimer WM; The Solubility of
Hydrous Germanous Oxide and the Potential of the Germanous Oxide-Germanic Oxide Couple","{""bbox_points"": null, ""doi"": ""10.5281/zenodo.7700024"", ""page"": 40, ""source_file"": ""GER.PDF""}"
8740,98PoS,"Geochim. Cosmochim. Acta, 1998, 62, 3413 - 3428; Pokrovski GS; Schott J; Experimental
Study of the Complexation of Silicon and Germanium with Aqueous Organic Species:
Implications for Germanium and Silicon Transport and Ge/Si Ratio in Natural Waters","{""bbox_points"": null, ""doi"": ""10.5281/zenodo.7700024"", ""page"": 40, ""source_file"": ""GER.PDF""}"
8746,89CWM,"CODATA Key Values for Thermodynamics, 1989 Cox JD; Wagman DD; Medvedev VA; Values
obtained from www.codata.org/codata/databases Apr. 2000 and
http://www.codata.org/resources/databases/key1.html Sept. 2011; Hemisphere Publishing
Corp., N.Y., U.S.A.","{""bbox_points"": null, ""doi"": ""10.5281/zenodo.7700024"", ""page"": 40, ""source_file"": ""GER.PDF""}"
8763,98PoS,"Geochim. Cosmochim. Acta, 1998, 62, 1631 - 1642; Pokrovski GS; Schott J; Thermodynamic
Properties of Aqueous Ge(IV) Hydroxide Complexes from 25 to 350C: Implications for the
Behavior of Germanium and the Ge/Si Ratio in Hydrothermal Fluids","{""bbox_points"": null, ""doi"": ""10.5281/zenodo.7700024"", ""page"": 40, ""source_file"": ""GER.PDF""}"
9015,82WEP,"J. Phys. Chem. Ref. Data, Vol. 11, Suppl. 2, 1982 Wagman DD; Evans WH; Parker VB;
Schumm RH; Halow I; Bailey SM; Churney KL; Nuttall RL; The NBS Tables of Chemical
Thermodynamic Properties - Selected Values for Inorganic and C1 and C2 Organic
Substances in SI Units","{""bbox_points"": null, ""doi"": ""10.5281/zenodo.7700024"", ""page"": 40, ""source_file"": ""GER.PDF""}"
9211,00KAK,"Inorg. Chim. Acta, 2000, 298, 154 - 164; Kanekiyo Y; Aizawa S-i; Koshino N; Funahashi
S; Complexation Equilibria of Oxy-acid-2-amino-2-deoxy-D-gluconic-acid Metal(II) Ion
Ternary Systems in Aqueous Solutions as Studied by Potentiometry. Binding
Characteristics of Borate and Germanate","{""bbox_points"": null, ""doi"": ""10.5281/zenodo.7700024"", ""page"": 40, ""source_file"": ""GER.PDF""}"
9906,90CIP,"Polyhedron, 1990, 9, 1263 - 1270; Ciavatta L; Iuliano M; Porto R; Vasca E;
Fluorogermanate(IV) Equilibria in Acid Media","{""bbox_points"": null, ""doi"": ""10.5281/zenodo.7700024"", ""page"": 40, ""source_file"": ""GER.PDF""}"
14923,05ONO,"OECD Chemical Thermodynamics Series, Volume 7, 2005 Olin A; Nolang B; Ohman L-O;
Osadchii EG; Rosen E; Chemical Thermodynamics of Selenium","{""bbox_points"": null, ""doi"": ""10.5281/zenodo.7700024"", ""page"": 40, ""source_file"": ""GER.PDF""}"
18662,32GuM,"J. Am. Chem. Soc., 1932, 54, 3151 - 3158; Gulezian CE; Muller JH; The Conductivity and
Degree of Hydrolysis of Sodium Bigermanate and the Primary Dissociation Constant of
Germanic Acid","{""bbox_points"": null, ""doi"": ""10.5281/zenodo.7700024"", ""page"": 40, ""source_file"": ""GER.PDF""}"
19840,48Car,"Bull. Soc. Chim. Fr., 1948,, 629 - 637; Carpeni G; Electrolyte Equilibria among Ions,
Simple Molecules and Condensed Molecules. II. The Isohydric Point. Consequences and
Applications","{""bbox_points"": null, ""doi"": ""10.5281/zenodo.7700024"", ""page"": 40, ""source_file"": ""GER.PDF""}"
21221,65Rei,"J. Phys. Chem., 1965, 69, 3168 - 3171; Reid WE Jr; Some Electrochemical Aspects of
Germanium Dissolution. Valence States and Electrode Potential","{""bbox_points"": null, ""doi"": ""10.5281/zenodo.7700024"", ""page"": 41, ""source_file"": ""GER.PDF""}"
22551,06Inz,"Encyclopedia of Electrochemistry, Vol. 7a, 2006, 17 - 75; Inzelt G; Standard, Formal
and Other Characteristic Potentials of Selected Electrode Reactions","{""bbox_points"": null, ""doi"": ""10.5281/zenodo.7700024"", ""page"": 41, ""source_file"": ""GER.PDF""}"
22980,63InS,"Acta Chem. Scand., 1963, 17, 590 - 596; Ingri N; Schorsch G; On the Determination of
the Formation Constants of GeO2(OH)23- Using a Hydrogen-Electrode. Measurements in 3 M
Na(Cl)-Medium","{""bbox_points"": null, ""doi"": ""10.5281/zenodo.7700024"", ""page"": 41, ""source_file"": ""GER.PDF""}"
22981,63Ing,"Acta Chem. Scand., 1963, 17, 597 - 616; Ingri N; Equilibrium Studies of Polyanions. 12.
Polygermanates in Na(Cl) Medium","{""bbox_points"": null, ""doi"": ""10.5281/zenodo.7700024"", ""page"": 41, ""source_file"": ""GER.PDF""}"
27292,13LBM,"OECD Chemical Thermodynamics Series, Volume 13a, 2013 Lemire RJ; Berner U; Musikas C;
Palmer DA; Taylor P; Tochiyama O; Chemical Thermodynamics of Iron Part 1; OECD (NEA)
Issy-les-Moulineaux, France","{""bbox_points"": null, ""doi"": ""10.5281/zenodo.7700024"", ""page"": 41, ""source_file"": ""GER.PDF""}"
27323,12GGS,"OECD Chemical Thermodynamics Series, Volume 12, 2012 Gamsjager H; Gajda T; Saxena SK;
Sangster J; Voigt W; Chemical Thermodynamics of Tin; Elsevier Science","{""bbox_points"": null, ""doi"": ""10.5281/zenodo.7700024"", ""page"": 41, ""source_file"": ""GER.PDF""}"
30883,15APP,"Fluid Phase Equilib., 2015, 392, 74 - 83; Akinfiev NN; Plyasunov AV; Pokrovski GS; An
Equation of State for Predicting the Thermodynamic Properties and Vapour-Liquid
Partitioning of Aqueous Ge(OH)4 in a Wide Range of Water Densities","{""bbox_points"": null, ""doi"": ""10.5281/zenodo.7700024"", ""page"": 41, ""source_file"": ""GER.PDF""}"
30959,05PRH,"Chem. Geol., 2005, 217, 127 - 145; Pokrovski GS; Roux J; Hazemann J-L; Testemale D; An
X-ray Absorption Spectroscopy Study of Argutite Solubility and Aqueous Ge(IV)
Speciation in Hydrothermal Fluids to 500 C and 400 bar","{""bbox_points"": null, ""doi"": ""10.5281/zenodo.7700024"", ""page"": 41, ""source_file"": ""GER.PDF""}"
31291,84PSG,"U.S. Bur. Mines Bull. 677, 1984 Pankratz LB; Stuve JM; Gokcen NA; Thermodynamic Data
for Mineral Technology; US Det. Interior, Bur. Mines, Washington, DC, USA","{""bbox_points"": null, ""doi"": ""10.5281/zenodo.7700024"", ""page"": 41, ""source_file"": ""GER.PDF""}"
31868,29Pug,"J. Chem. Soc., 1929,, 1537 - 1541; Pugh W; CXCIX - Germanium. Part IV. The Solubility
of Germanium Dioxide in Acids and Alkalis","{""bbox_points"": null, ""doi"": ""10.5281/zenodo.7700024"", ""page"": 41, ""source_file"": ""GER.PDF""}"
31869,31ScH,"Z. Anorg. Allg. Chem., 1931, 203, 188 - 218; Schwarz R; Huf E; Contributions to the
Chemistry of Germanium. Part VIII: On Germanium Dioxide","{""bbox_points"": null, ""doi"": ""10.5281/zenodo.7700024"", ""page"": 41, ""source_file"": ""GER.PDF""}"
31870,57Ant,"Suomen Kemi., 1957, 30B, 123 - 128; Antikainen PJ; Ionization and Some Thermodynamic
Properties of Germanic Acid in Aqueous Solutions","{""bbox_points"": null, ""doi"": ""10.5281/zenodo.7700024"", ""page"": 41, ""source_file"": ""GER.PDF""}"
31872,67PiB,"Inorg. Chem., 1967, 6, 1505 - 1509; Pichet P; Benoit RL; Complexes of Germanium(IV)
with Anions of ortho-Diphemnols and Their Stability Constants","{""bbox_points"": null, ""doi"": ""10.5281/zenodo.7700024"", ""page"": 41, ""source_file"": ""GER.PDF""}"
31873,59Ant,"Acta Chem. Scand., 1959, 13, 312 - 322; Antikainen PJ; A Comparative Study on the
Chelate Formation between Germanic Acid and Some Glycols and Polyalcohols in Aqueous
Solutions","{""bbox_points"": null, ""doi"": ""10.5281/zenodo.7700024"", ""page"": 41, ""source_file"": ""GER.PDF""}"
31876,59AnR,"Suomen Kemi., 1959, 32B, 214 - 219; Antikainen PJ; Rossi VMK; The Influence of the
Ligand Configuration on the Stability of Oxyanion Chelates: I. Chelation of Boric Acid
and Germanic Acid with Hexols","{""bbox_points"": null, ""doi"": ""10.5281/zenodo.7700024"", ""page"": 42, ""source_file"": ""GER.PDF""}"
31878,59LoB,"J. Phys. Chem., 1959, 63, 1368 - 1373; Lovrecek B; Bockris JO'M; The Potential of the
Semiconductor - Solution Interface in the Absence of Net Current Flow: Germanium","{""bbox_points"": null, ""doi"": ""10.5281/zenodo.7700024"", ""page"": 42, ""source_file"": ""GER.PDF""}"
31881,63BeP,"Can. J. Chem., 1963, 41, 1170 - 1180; Benoit RL; Place J; Fluoride Complexes of
Germanium(IV) in Aqueous Solution","{""bbox_points"": null, ""doi"": ""10.5281/zenodo.7700024"", ""page"": 42, ""source_file"": ""GER.PDF""}"
31887,64HKM,"Monatsh. Chem., 1964, 95, 1173 - 1187; Haas J; Konopik N; Mark F; Neckel A; On the
Polymerisation of Germanic Acid. Part 3. Determination of Complex Compositions and
Stability Constants of Multinuclear Complexes by Mathematical Least Squares","{""bbox_points"": null, ""doi"": ""10.5281/zenodo.7700024"", ""page"": 42, ""source_file"": ""GER.PDF""}"
31888,64RyK,"Russ. J. Inorg. Chem., 1964, 9, 603 - 607; Ryss IG; Kulish NF; Equilibrium of the First
Hydrolysis Stage of the Hexafluorogermanate Ion","{""bbox_points"": null, ""doi"": ""10.5281/zenodo.7700024"", ""page"": 42, ""source_file"": ""GER.PDF""}"
31889,64RyK,"Russ. J. Inorg. Chem., 1964, 9, 752 - 754; Ryss IG; Kulish NF; Hydrolysis of Potassium
Hexafluorogermanate in Aqueous Solution","{""bbox_points"": null, ""doi"": ""10.5281/zenodo.7700024"", ""page"": 42, ""source_file"": ""GER.PDF""}"
31891,66AnT,"Suomen Kemi., 1966, 39B, 2 - 4; Antikainen PJ; Tevanen K; Anionic Chelate Formation
between Germanic Acid and Catechol-3,5-dislphonic Acid (TIRON) in Aqueous Electrolyte
Solutions","{""bbox_points"": null, ""doi"": ""10.5281/zenodo.7700024"", ""page"": 42, ""source_file"": ""GER.PDF""}"
31893,66BeB,"Can. J. Chem., 1966, 44, 1615 - 1624; Beauchamp A; Benoit RL; Chelates Of Germanium(IV)
with Tropolone, Maltol, Lawsone, and Trichlorohydroxy p-benzoquinone. II. Nature and
Stability of the Chelates","{""bbox_points"": null, ""doi"": ""10.5281/zenodo.7700024"", ""page"": 42, ""source_file"": ""GER.PDF""}"
31894,66Kon,"Fresenius J. Anal. Chem., 1966, 224, 107 - 116; Konopik N; Reaction of Germanic Acid
with Ethylenediaminetetraacetic Acid","{""bbox_points"": null, ""doi"": ""10.5281/zenodo.7700024"", ""page"": 42, ""source_file"": ""GER.PDF""}"
31897,68NaF,"Russ. J. Inorg. Chem., 1968, 13, 966 - 969; Nazarenko VA; Flyantikova GV; Cationic
Hydroxo-complexes of Germanium(IV) in Solutions with Ionic Strength 0 - 1","{""bbox_points"": null, ""doi"": ""10.5281/zenodo.7700024"", ""page"": 42, ""source_file"": ""GER.PDF""}"
31899,70NLV,"Russ. J. Inorg. Chem., 1970, 15, 330 - 333; Nazarenko VA; Lebedeva NV; Vinarova LI;
Reaction of Germanium(IV) with 3,5-Dinitropyrocatechol","{""bbox_points"": null, ""doi"": ""10.5281/zenodo.7700024"", ""page"": 42, ""source_file"": ""GER.PDF""}"
31901,73BPS,"Russ. J. Inorg. Chem., 1973, 18, 1470 - 1473; Belousova EM; Pozharitskii AF; Seifullina
II; Bobrovskaya MM; A Spectrometric Study of the Formation of Germanium(IV) Tartrate
and Citrate Complexes","{""bbox_points"": null, ""doi"": ""10.5281/zenodo.7700024"", ""page"": 42, ""source_file"": ""GER.PDF""}"
31904,79NaV,"Ukrain. Khim. Zh. (Russ. Ed.), 1979, 45, 596 - 600; Nazarenko VA; Varlamova NM;
Stability Constants of Germanium Fluoride Complexes","{""bbox_points"": null, ""doi"": ""10.5281/zenodo.7700024"", ""page"": 42, ""source_file"": ""GER.PDF""}"
31905,79MiB,"Collect. Czech. Chem. Commun., 1979, 44, 3256 - 3263; Mikesova M; Bartusek M; Complexes
of Germanic Acid with Mannitol, Sorbitol, Maltol and with Chromotropic and Kojic Acids","{""bbox_points"": null, ""doi"": ""10.5281/zenodo.7700024"", ""page"": 43, ""source_file"": ""GER.PDF""}"
31906,80MiB,"Collect. Czech. Chem. Commun., 1980, 45, 2645 - 2655; Mikan A; Bartusek M; The
Reactions of Oligoalcohols with Arsenic, Arsenous, Boric and Germanic Acids","{""bbox_points"": null, ""doi"": ""10.5281/zenodo.7700024"", ""page"": 43, ""source_file"": ""GER.PDF""}"
31907,86HPL,"Finn. Chem. Lett., 1986, 13, 93 - 97; Hakkinen P; Purokoski S; Lajunen K; A
Potentiometric Study on the Formation of Germanic Acid and Germanate Ion with Sugar
Acids and Disaccharides in Aqueous Solution","{""bbox_points"": null, ""doi"": ""10.5281/zenodo.7700024"", ""page"": 43, ""source_file"": ""GER.PDF""}"
31908,87KDU,"Russ. J. Inorg. Chem., 1987, 32, 430 - 432; Kosova TB; Dem'yanets LN; Uvarova TG;
Investigation of the Solubility of Germanium Dioxide in Water at 25 - 300 C","{""bbox_points"": null, ""doi"": ""10.5281/zenodo.7700024"", ""page"": 43, ""source_file"": ""GER.PDF""}"
31910,88KoD,"Russ. J. Inorg. Chem., 1988, 33, 1522 - 1527; Kosova TB; Dem'yanets LN; Behaviour of
Germanium Dioxide in Water and Aqueous Solutions at Temperatures of 25 - 300 C","{""bbox_points"": null, ""doi"": ""10.5281/zenodo.7700024"", ""page"": 43, ""source_file"": ""GER.PDF""}"
31912,91Soh,"Bull. Chem. Soc. Jpn., 1991, 64, 3363 - 3371; Sohrin Y; Formation of Halide Complexes
of Methyl- and Inorganic Germanium(IV) in Aqueous Hydrohalogenic Acid Solutions","{""bbox_points"": null, ""doi"": ""10.5281/zenodo.7700024"", ""page"": 43, ""source_file"": ""GER.PDF""}"
31920,68PaM,"Ukrain. Khim. Zh. (Russ. Ed.), 1968, 12, 6 - 9; Parpiev NA; Maslennikov IA; Ion-
exchange Study of Fluoride Complexes of Silicon and Germanium","{""bbox_points"": null, ""doi"": ""10.5281/zenodo.7700024"", ""page"": 43, ""source_file"": ""GER.PDF""}"
31921,72Par,"Usbeksk. Khim. Zh., 1972, 6, 17 - 23; Parpiev NA; Complexes of Some Group IV, V, and VI
Elements","{""bbox_points"": null, ""doi"": ""10.5281/zenodo.7700024"", ""page"": 43, ""source_file"": ""GER.PDF""}"
31949,57Ant,"Suomen Kemi., 1957, 30, 147 - 151; Antikainen PJ; Complex Formation by Germanic Acid
with Some Polyhydroxy Compounds","{""bbox_points"": null, ""doi"": ""10.5281/zenodo.7700024"", ""page"": 43, ""source_file"": ""GER.PDF""}"
31950,70NLV,"Russ. J. Inorg. Chem., 1970, 15, 1557 - 1559; Nazarenko VA; Lebedeva NV; Vinarova LI;
Interaction of Germanium(IV) with 3-Nitropyrocatechol","{""bbox_points"": null, ""doi"": ""10.5281/zenodo.7700024"", ""page"": 43, ""source_file"": ""GER.PDF""}"
31959,26Mul,"Proc. Am. Philos. Soc., 1926, 65, 183 - 195; Muller JH; Further Studies on the
Allotrophy of Germanic Oxide","{""bbox_points"": null, ""doi"": ""10.5281/zenodo.7700024"", ""page"": 43, ""source_file"": ""GER.PDF""}"
31960,26RoS,"Chem. Ber., 1926, 59, 338 - 348; Roth WA; Schwartz O; Physicochemical Properties of
Solutions of Germanium Dioxide (and Arsenic Trioxide)","{""bbox_points"": null, ""doi"": ""10.5281/zenodo.7700024"", ""page"": 43, ""source_file"": ""GER.PDF""}"
31966,55Lou,"Bull. Soc. Chim. Fr., 1955,, 1118 - 1125; Lourijsen-Teyssedre Mme; Condensation
Phenomena in Inorganic Chemistry. 10. Constitutions of Germanate and Arsenite Solutions","{""bbox_points"": null, ""doi"": ""10.5281/zenodo.7700024"", ""page"": 43, ""source_file"": ""GER.PDF""}"
31968,58KrT,"Z. Phys. Chem., 1958, 209, 190 - 205; Kruger G; Thilo E; Hydrolytic Behavior and
Molecular Weights of Germanate and Stannate Ions in Melting Glauber Salt","{""bbox_points"": null, ""doi"": ""10.5281/zenodo.7700024"", ""page"": 43, ""source_file"": ""GER.PDF""}"
31970,61AnD,"Z. Anorg. Allg. Chem., 1961, 310, 26 - 31; Angerstein A; Davidson W; The Absorption of
Hydrochloric Acid Solutions of Germanium(IV) Chloride in the Near Ultraviolet","{""bbox_points"": null, ""doi"": ""10.5281/zenodo.7700024"", ""page"": 44, ""source_file"": ""GER.PDF""}"
